Order ID,AWB Number,Total weight as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
2001827036,1091122418320,0.127,1.6,1.0,e,b,56.6,117.9,-61.300000000000004
2001819252,1091120352712,0.127,0.3,1.0,e,b,56.6,33.0,23.6
2001811475,1091121844806,0.127,0.5,1.0,e,b,56.6,33.0,23.6
2001811475,1091121844806,0.127,0.5,1.0,e,b,56.6,33.0,23.6
2001809592,1091117616121,0.127,1.5,1.0,b,b,33.0,89.6,-56.599999999999994
2001808585,1091117436652,0.127,0.72,1.0,e,b,56.6,61.3,-4.699999999999996
2001808507,1091117436383,0.127,0.79,1.0,b,b,33.0,61.3,-28.299999999999997
2001807956,1091117327275,0.127,1.08,1.0,b,b,33.0,89.6,-56.599999999999994
2001807814,1091117326612,0.127,0.79,1.0,b,b,33.0,61.3,-28.299999999999997
2001806776,1091117227573,0.127,2.86,1.0,b,b,33.0,174.5,-141.5
2001806575,1091117225016,0.127,0.68,1.0,b,b,33.0,61.3,-28.299999999999997
2001806575,1091117225016,0.127,0.68,1.0,b,b,33.0,61.3,-28.299999999999997
2001806547,1091117224611,0.127,1.0,1.0,b,b,33.0,61.3,-28.299999999999997
2001827036,1091122418320,0.15,1.6,1.0,e,b,56.6,117.9,-61.300000000000004
2001827036,1091122418320,0.1,1.6,1.0,e,b,56.6,117.9,-61.300000000000004
2001827036,1091122418320,0.165,1.6,1.0,e,b,56.6,117.9,-61.300000000000004
2001827036,1091122418320,0.35,1.6,1.0,e,b,56.6,117.9,-61.300000000000004
2001827036,1091122418320,0.5,1.6,1.0,e,b,56.6,117.9,-61.300000000000004
2001827036,1091122418320,0.5,1.6,1.0,e,b,56.6,117.9,-61.300000000000004
2001827036,1091122418320,0.137,1.6,1.0,e,b,56.6,117.9,-61.300000000000004
2001806776,1091117227573,0.137,2.86,1.0,b,b,33.0,174.5,-141.5
